"","id","year_2030_SSP1","year_2030_SSP2","year_2030_SSP3","year_2030_SSP1_TotalWTP","year_2030_SSP2_TotalWTP","year_2030_SSP3_TotalWTP","year_2050_SSP1","year_2050_SSP2","year_2050_SSP3","year_2050_SSP1_TotalWTP","year_2050_SSP2_TotalWTP","year_2050_SSP3_TotalWTP","year_2100_SSP1","year_2100_SSP2","year_2100_SSP3","year_2100_SSP1_TotalWTP","year_2100_SSP2_TotalWTP","year_2100_SSP3_TotalWTP"
"2011",11807,0.244040768695847,0.0129506831275738,0.0684880611969361,39.3725433705857,2.08941045319609,11.0495847650949,0.191451548803951,0.419363787162518,0.568198396008481,30.888012887896,67.6584448833948,91.6708143048961,0.270467142810287,-0.0670673709779756,-0.327076298915161,43.6360669060522,-10.8203763932269,-52.7691575196508
"2012",11808,-0.049555845984598,-0.118180602445283,-0.0942721622826937,-56.2061204710667,-134.040153011358,-106.923258095036,-0.14386288249714,-0.154827963744696,-0.134694282790352,-163.168932833117,-175.605501422154,-152.769929255802,-0.184318172545667,-0.283722400043466,-0.392617647225844,-209.053224806786,-321.79725883682,-445.305984401945
"2013",11809,-0.0211935818147163,-0.055741548009405,-0.042715837441732,-835.451222655451,-2197.33242093266,-1683.85877052015,-0.0695869750227985,-0.07394595414511,-0.0613494716849323,-2743.11930243536,-2914.9503062318,-2418.39683242465,-0.0848843909146363,-0.136599019596845,-0.190084484143604,-3346.14360111387,-5384.73481893828,-7493.1324055537
"2014",1181,0.00200419670274388,0.000452757341585628,-0.000516589412826613,0.148182161739149,0.0334750384169264,-0.0381945224335535,-0.00180068927241455,0.00458522154599268,0.00290812929437909,-0.133135649131433,0.339012652704152,0.215015265152399,-3.73770601004668e-05,-0.000542790338424816,-0.0160745313868282,-0.00276350797182658,-0.0401317124256301,-1.18848554464886
"2015",11810,0.000559232759012862,-0.108330438147866,-0.0292624810371579,0.739857984700129,-143.319822306616,-38.7138984591913,-0.270357428976598,-0.277856697882482,-0.134588921601881,-357.679515957565,-367.600955447672,-178.059469325618,-0.427088277781284,-0.529215674718557,-0.627810673169444,-565.032479581622,-700.145755517131,-830.585712189462
"2016",11811,0.243906421582955,0.0129428412362649,0.068447751605957,22.1029228096415,1.17288679373828,6.20276973611962,0.191346206710069,0.419146727562971,0.567914224416835,17.3398896567877,37.9832876277401,51.4646731452026,0.270322617565623,-0.067025356497752,-0.326859828756155,24.496771798692,-6.07387157477795,-29.6202023615554
"2017",11812,0.506599548536996,0.0223968211119989,0.141180889151489,25606.5215543342,1132.06710153846,7136.1127177429,0.389147028690107,0.856466666349062,1.16177648995465,19669.7802174031,43290.8639886686,58723.0186391885,0.547289586398812,-0.160495589997226,-0.719303997099971,27663.2354510683,-8112.39132863032,-36357.8557443465
"2018",11813,0.064880191587346,-0.0104891330941144,0.0081746086709056,73.5869561318284,-11.8967493463451,9.27162135227291,0.0394528783299475,0.10496048617261,0.150409743049015,44.7473590307098,119.045929159458,170.594366211862,0.0585603731940278,-0.0517379059247966,-0.140404376498297,66.4190334193293,-58.6810075693923,-159.246303707155
"2019",11814,0.114699254432929,-0.0278184547174667,0.0182377917105732,276.396161170208,-67.0354321970873,43.9484601878729,0.0231584997395694,0.133137488467109,0.238741517752536,55.806120607534,320.827636605693,575.306608094269,0.0255982346619625,-0.171538146495303,-0.329914803451926,61.6852640261745,-413.363499352816,-795.011141425145
"2020",11815,-0.00303773755544731,-0.0142694731857067,-0.00586871556398221,-0.286080129365943,-1.34383325104255,-0.552688597059772,-0.0316484277580626,-0.0346949665541599,-0.0226652550824096,-2.98050313497936,-3.26741212464602,-2.13450931416393,-0.0421938705106445,-0.0592217413387471,-0.0693436854885432,-3.973624354905,-5.57723078910628,-6.53046886150523
"2021",11816,-0.180124937330132,-0.406045210469911,-0.389648481971934,-423.725760191937,-955.180432142622,-916.608780985113,-0.0126601219676335,-0.106646430223387,-0.485789893478189,-29.7816609092069,-250.874978156629,-1142.77176141547,1.2856426622988,-0.205621827514522,-0.934294084995273,3024.34478252899,-483.704624507154,-2197.83266701089
"2022",11817,-0.0308748431720292,-0.0644573748922278,-0.0558387022526447,-52.3242494977339,-109.237276025595,-94.6310292822464,-0.0561284797078833,-0.0680834383305025,-0.0789382983076938,-95.1221212622846,-115.382442398805,-133.778403101986,4.56359638390167e-06,-0.0970723647062952,-0.183957196398493,0.00773402327803738,-164.510588828794,-311.756150067783
"2023",11818,-0.000792509380345835,-0.00214818965094684,-0.00159278120806685,-0.0152291634574909,-0.0412804342046821,-0.0306074930735641,-0.00283453865796779,-0.00301777105370694,-0.00242753019049156,-0.0544695793126521,-0.0579906431317345,-0.0466483488849776,-0.00354453907099381,-0.0054880379593658,-0.00748853161882359,-0.0681132188871652,-0.105460237085931,-0.143902488611411
"2024",11819,-0.0649693950956347,-0.145110546558304,-0.139289204304882,-212.876522223877,-475.46430813873,-456.390295032109,-0.0148620752765323,-0.0425732168981722,-0.174059752158296,-48.6965731055457,-139.493962346813,-570.318295930966,0.419217807163331,-0.138107266309071,-0.340078489052296,1373.59488589799,-452.517596976937,-1114.28967325367
"2025",1182,0.00164240103094066,0.000238556725623526,-0.000564700342995931,0.620371597917481,0.090108210041897,-0.213299947777245,-0.0020456627884882,0.00369802466145142,0.00228897452077988,-0.772692581767266,1.39682661246805,0.864596864162542,-0.000794663874355597,-0.00126566360263875,-0.0151569293696704,-0.300162316178606,-0.478069446379547,-5.72511117287807
"2026",11820,-0.0589711529982255,-0.124829326528356,-0.103482754650386,-147.162423774027,-311.51139694598,-258.241058871988,-0.14658385065872,-0.162288246757195,-0.150661003635775,-365.799779253364,-404.99007614019,-375.974308386598,-0.176584803474352,-0.277989452758633,-0.388129034567458,-440.667111964519,-693.722262015239,-968.575423067254
"2027",11821,-0.0285194288416139,-0.111528483824188,-0.0779636244463279,-2068.63199659455,-8089.62169094185,-5655.02377329616,-0.146570170538762,-0.145103166896416,-0.100704219224667,-10631.3399965567,-10524.9321617248,-7304.49306110402,-0.196755288300499,-0.309796636112174,-0.425421923418018,-14271.4739182891,-22470.8298843595,-30857.6096570069
"2028",11822,-0.0517941001013452,-0.144553560566738,-0.109248236536212,-21743.5666218074,-60684.710583874,-45863.26057972,-0.183788783390151,-0.192082242725951,-0.153620531234908,-77155.962709368,-80637.6215322914,-64491.095488633,-0.240560712345291,-0.371053571778097,-0.509875449845297,-100989.260653907,-155771.179389737,-214049.685018994
"2029",11823,-0.0218393006363335,-0.0662442548815301,-0.0475637698438336,0,0,0,-0.0899081032347417,-0.093739342931159,-0.0710175110096226,0,0,0,-0.118256259003014,-0.179204515142332,-0.242161319069924,0,0,0
"2030",11824,0.169261032671971,0.00883821972966185,0.0472935625466733,28.9038008037371,1.50925548836089,8.07606859989629,0.13246537836015,0.291666856836839,0.396400210506917,22.620403816947,49.8063883812054,67.6911427407868,0.187415346869401,-0.0466522811858922,-0.224690147235009,32.0039158922932,-7.96656041352543,-38.3691340866934
"2031",11825,0.0383489456307428,-0.0690894165318235,-0.0219074438423205,0,0,0,-0.0972590040704613,-0.0538234979460412,0.0361325497132344,0,0,0,-0.147753004921695,-0.284612916348671,-0.40526980526699,0,0,0
"2032",11826,-0.165008774828992,-0.370981485566927,-0.358017141574423,-54.0615363259948,-121.544015335141,-117.296529985227,-0.0226929165768459,-0.0940688111181001,-0.442144859831748,-7.43484057216556,-30.8196000768729,-144.859147193341,1.08141789682988,-0.328949936860284,-0.861938762699449,354.303054329312,-107.773292538145,-282.395489444431
"2033",11827,0.00860823560635537,-0.105212733444658,-0.0505992119565325,0,0,0,-0.165653023308673,-0.142871952790237,-0.0484926228700538,0,0,0,-0.243540369795048,-0.385335281789761,-0.51887699745502,0,0,0
"2034",11828,0.169261032671971,0.00883821972966185,0.0472935625466733,26.8645755936575,1.40277427292439,7.50628461892201,0.13246537836015,0.291666856836839,0.396400210506917,21.0244857562421,46.2924407346786,62.9153872713448,0.187415346869401,-0.0466522811858922,-0.224690147235009,29.7459709060271,-7.40450247023989,-35.6621092891659
"2035",11829,-0.0171542447514877,-0.0396582863211383,-0.0343862880445291,0,0,0,-0.0241328022476153,-0.0310464787538767,-0.051775892582273,0,0,0,0.0562817772110075,-0.0682336641123415,-0.115054566887922,0,0,0
"2036",1183,-0.00158569209978101,-0.00224628001690407,-0.00113513971607089,0,0,0,-0.00577386803306197,-0.00390840787321616,-0.00306697821294918,0,0,0,-0.00726406408886593,-0.00744246581607165,-0.0119683736972302,0,0,0
